"","KIR3DP1","KIR2DS5","KIR2DL3","KIR2DP1","KIR2DS3","KIR2DS2","KIR2DL4","KIR3DL3","KIR3DL1","KIR3DS1","KIR2DL2","KIR3DL2","KIR2DS4","KIR2DL1","KIR2DS1","KIR2DL5"
"10F_S71_L001_R",0.458284853877216,0.551673396755869,0.648381356512217,1.25289165697078,0.000718636643624666,0.576312367394429,0.835774416535487,1,1.23954554787489,0.0336732598726987,0.47334200260078,1.23410444185887,1.1318184929163,0.822496749024707,0.0158442269522962,0.376462938881664
"1100_S382_L001_R",0.477970627503338,0.00320427236315087,1.26488651535381,1.33493546951491,0.000133511348464619,0.000267022696929239,0.795683133066311,1,1.15687583444593,0.0559412550066756,0.000178015131286159,1.27556742323097,1.21637739207833,1.08046283934134,0.00667556742323097,0.0218958611481976
"1101_S383_L001_R",0.465028029322984,8.6244070720138e-05,1.18581285036654,1.21280724450194,0.000301854247520483,0.000301854247520483,0.855368693402329,1,1.2608020698577,0.0453212591634325,0.000603708495040966,1.30521776627857,1.19693833548944,0.980379473911169,0.00802069857697283,0.0160845191893057
"1102_S384_L001_R",0.48870831574504,0.957577036724356,1.34096665259603,1.32197129590545,0.000316589278176446,5.27648796960743e-05,0.867032503165893,1,0.00153018151118615,1.28186998733643,0.000580413676656817,1.29933516251583,0.000316589278176446,1.09566272688898,0.48897214014352,0.821549176867877
"1103_S577_L002_R",0.486333947793632,0.00027309346623882,1.26660749641565,1.31310165904281,0.0004551557770647,0.000614460299037345,0.910675678751053,1,1.26267039894404,0.0304954370633349,0.00109237386495528,1.31248719874377,1.19184816003277,1.09064427300244,0.00022757788853235,0.0116292301040031
"1104_S578_L002_R",0.492321412646036,0.48709533577098,0.648836172300009,1.25634531347543,1.02757513600285,0.586265941318113,0.855328636404174,1,0.00187282618389369,1.22431106751092,0.476143761705164,1.24130919468474,0.000267546597699099,0.90607330776777,0.463533398733613,1.08875412467671
"1105_S579_L002_R",0.503916449086162,0.510937046707282,1.27507977951842,1.28978822164201,0.00127647229474906,0.00145053669857847,0.899390774586597,1,0.664809979692486,0.677719756309835,0.00113141862489121,1.35033362344067,0.624310995068175,1.06353350739774,0.252596460690455,0.444270380040615
"1106_S580_L002_R",0.498753219147284,0.479867555083187,0.647590238319094,0.651882434697298,0.000163512242979193,0.57548133916527,0.878919184073908,1,0.614846911662511,0.633650819605118,0.49752687732494,1.29861423374075,0.535666107999836,0.5532436741201,0.251808854187957,0.429178759759637
"1107_S581_L002_R",0.47568852984332,0.00102878923313039,1.24456512573154,1.25449884472029,0.000236115561702056,0.0007252120823706,0.837687416727101,1,1.3054660752534,0.0266473276778035,0.00111311621945255,1.27765503516435,1.12625436392154,1.0596529101243,0.00207444386352521,0.0126153171537956
"1108_S582_L002_R",0.483720930232558,0.000166112956810631,0.590132890365448,0.604086378737542,0.000199335548172757,0.614252491694352,0.850265780730897,1,1.28797342192691,0.0260132890365448,0.470730897009967,1.27820598006645,1.13797342192691,0.507109634551495,0.00209302325581395,0.00691029900332226
"1109_S583_L002_R",0.490925931286,0.491910040811601,1.26012330313468,1.262380966164,0.000520999160612464,0.000839387536542302,0.936467046803091,1,0.673594025876292,0.686850560074098,0.000376277171553446,1.33691279052939,0.609337462734088,1.04170887724681,0.254392312367941,0.4514457726707
